,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,queue_seconds,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
279,0.5,11072724,18801,0.1,1,90.0,3.0,43e14886-a7df-422c-9ff1-0e5b94b482b8,1854216.0,40708.0,1334.0,122184.08839418234,80054951935.0,27405.38480009833,61507.32751428221,2878639.086490462,654514585.1774198
280,0.5,11123700,18801,0.3,1,90.0,5.0,485cee6c-270a-4fc7-97ae-bbb2b6b3797a,1854216.0,36328.0,1095.0,72728.63954458991,69474312192.0,56059.8540181638,158796.2835015863,4791441.169916328,1193277270.33214
281,0.5,11123532,18801,0.3,1,90.0,3.0,6ff1e47d-9406-4d0f-aad9-e9b237cd76f5,1854216.0,51864.0,1094.0,88327.79176801334,69475287040.0,71232.23503351789,178424.1525436415,417775014.81189954,1195898674.4963057
282,0.3,11130640,18801,0.1,1,90.0,5.0,41797ea6-a3d0-464d-8da6-d7b7a7a81f97,1854216.0,32877.0,850.0,98619.2706806028,80703123455.0,28793.86699936073,102249.87012091324,3343352.8866631966,1309813504.561448
283,0.3,11129568,18801,0.1,1,90.0,3.0,76469b44-4243-4f24-9961-145c7bb25b83,1854216.0,52972.0,856.0,118782.31650058576,80707993599.0,32890.32188872921,106470.9277397068,3802544.59740302,1310985340.5249555
284,0.5,11057612,18801,0.1,1,90.0,3.0,8439389b-3fa4-4e2a-947f-fc24414b4530,1854216.0,46030.0,386.0,167516.648591677,46200774655.0,68527.87816612433,174797.2912790525,391204625.7475095,1311925524.1555903
285,0.5,11058428,18801,0.1,1,90.0,5.0,38faed07-cdd9-4cd9-b966-775c0cd3c59d,1854216.0,37721.0,388.0,150742.11520935706,46200135679.0,57938.20921110386,162513.93454999407,5231573.067099903,1310156642.9391725
286,0.5,11091404,18801,0.3,1,90.0,5.0,a0004059-022f-436b-aef9-d872d6746aed,1854216.0,25717.0,44.0,51345.775956648016,23197564927.0,168340.97317052633,468338.0478169201,12874453.83421185,2302024577.6438828
287,0.5,11091552,18801,0.3,1,90.0,3.0,24dacdd7-fe94-42ca-b754-f8cf0450ae16,1854216.0,40224.0,41.0,65955.26573896245,23204028415.0,180757.91652973648,482081.3379979392,424029383.5613696,2304480540.110156
288,0.3,11068032,18801,0.1,1,90.0,5.0,86095dbf-d603-4174-8168-aa484097e0c2,1854216.0,29928.0,53.0,59750.61942921045,23136255999.0,46793.94536974874,128725.01242425464,4157312.964236684,659102654.9519079
289,0.3,11067320,18801,0.1,1,90.0,3.0,6340af60-fd9f-4c1a-ae13-44d36a256730,1854216.0,38151.0,51.0,68063.17681906674,23138193407.0,52647.5179474473,135319.95191157487,181191399.6709233,660280895.5133752
290,0.3,11078492,18801,0.3,1,90.0,3.0,dbc39c98-1d03-4b65-a536-0594903dae30,1854216.0,47845.0,5.0,176257.72975272877,46281932799.0,37103.87175436157,78361.50070919894,192815532.2828321,1192551618.670693
291,0.3,11078420,18801,0.3,1,90.0,5.0,ff498fb6-9dfa-4776-a11b-ad588c64ac2b,1854216.0,40225.0,5.0,160920.6494698834,46281064447.0,29973.212419530428,72888.86725938907,3275111.1213579364,1191287319.755128
292,0.5,11114740,18801,0.1,1,90.0,5.0,d0fafca8-c069-426f-bf8f-86643ece6f6f,1854216.0,29479.0,20.0,58892.312702710304,23216082943.0,56626.20530343187,191760.55837553515,4779134.236691539,1011130746.6552714
293,0.5,11136836,18801,0.3,1,90.0,3.0,05b94974-f782-4e30-aae9-8376bbe2d9e7,1854216.0,51494.0,31.0,129050.5116252585,34893881343.0,58055.275251501866,175576.75391801895,220907079.9412499,1315370611.0884292
294,0.5,11137020,18801,0.3,1,90.0,5.0,f5971869-5b60-4bf9-8aef-40cb7008df64,1854216.0,38757.0,29.0,116191.6422777868,34893000703.0,49122.98992953488,169042.5599464341,4610905.093130669,1314073361.2526531
295,0.3,11122780,18801,0.1,1,90.0,3.0,dfba1cf6-e75b-4ae8-b4ca-fb95215e4dab,1854216.0,45578.0,39.0,83603.60350698695,23250890751.0,71816.03815416766,166750.7662228196,348967717.5721747,1999780113.6803973
296,0.3,11124276,18801,0.1,1,90.0,5.0,8f5bfee8-7015-4c48-8ec6-31e420700716,1854216.0,38024.0,43.0,75950.83614011169,23250108415.0,59844.22405110584,151193.4776583465,5832180.987427805,1997321818.029628
297,0.3,11131816,18801,0.3,1,90.0,3.0,8f735463-c3a7-4c30-9b06-6ebc92d4a3d5,1854216.0,44614.0,37.0,110361.4657194317,34892247039.0,45025.08563794736,104619.10589924942,298816832.7016002,1313474744.412295
298,0.3,11131696,18801,0.3,1,90.0,5.0,92b0469a-74b7-4683-b73d-11577b557cff,1854216.0,32869.0,37.0,98472.08099694518,34890797055.0,33648.30295313833,97054.89125204145,3665301.541119867,1311575548.1063836
299,0.5,11086604,18801,0.1,1,90.0,5.0,2873ce91-bbdc-44f8-b7c1-f7e1cf771810,1854216.0,41509.0,49.0,71987.38418316489,23194177535.0,109104.00522550016,541936.9377770146,381896900.61999375,2305886883.482065
300,0.5,11085092,18801,0.1,1,90.0,3.0,10f23215-fc4d-4a5a-82e1-6b3050c0e2d9,1854216.0,30482.0,51.0,60857.899171172656,23188295679.0,98684.14085239974,530084.7102647929,8607974.441653518,2303651025.2889585
301,0.5,11132228,18801,0.3,1,90.0,5.0,84e1051f-ea0d-45d1-8d6a-4249cf48c66a,1854216.0,37195.0,83.0,148625.65199622413,46499307519.0,42236.00033389832,123349.0955661824,4322166.85995292,1310705980.7332363
302,0.5,11132376,18801,0.3,1,90.0,3.0,20a30a40-309a-4842-aafb-e8e33d8ac63f,1854216.0,37213.0,83.0,148696.18820751365,46499307519.0,42255.3199779661,123408.11557828895,4324273.582292845,1311372184.428336
303,0.3,11161896,18801,0.1,1,90.0,5.0,55e2972e-9769-4c23-b289-a63b68f70aa0,1854216.0,39818.0,23.0,159165.44752123335,46623760383.0,46900.2458481649,127607.11507254904,4574991.862164706,1310976612.201691
304,0.3,11159700,18801,0.1,1,90.0,3.0,f69c9f22-9e9b-4e9b-9125-54f21030ba0e,1854216.0,41390.0,21.0,162438.76967674354,46623903743.0,60358.80649200498,135281.95454878948,352686916.01982945,1311778848.1534903
305,0.3,11097548,18801,0.3,1,90.0,3.0,6fc5f829-f8d0-4d16-bfcb-ade1bca548e5,1854216.0,32639.0,30.0,97823.59554779036,34774781951.0,30554.36925303868,98529.37962050336,3468950.588252547,1306667947.432805
306,0.3,11097632,18801,0.3,1,90.0,5.0,0bc740e0-39ed-496c-8676-ab542bb34505,1854216.0,35429.0,34.0,100740.2155747662,34775154687.0,31107.450766844624,98970.6700407162,3537924.053008006,1306862543.7780404
307,0.5,11180736,18801,0.1,1,90.0,5.0,dbd9af7d-ed43-4058-81be-3094fa528f13,1854216.0,41300.0,7.0,150642.4856022001,46703185919.0,44095.707481940255,91059.17419418972,195496878.64550483,1315234835.3700469
308,0.5,11180176,18801,0.1,1,90.0,3.0,dfca3c5a-bdd8-45f8-8e75-474f598b6e2c,1854216.0,34010.0,7.0,135982.20395015768,46701072383.0,37033.83527871025,86143.6938135334,3980537.140443895,1314454591.312067
309,0.5,11109492,18801,0.3,1,90.0,3.0,5e3be550-f9b5-4118-9d09-4215946cb44c,1854216.0,43296.0,28.0,164403.22013769936,46413271039.0,61835.80410117387,169148.09969360105,418488573.10492194,1313468570.536994
310,0.5,11109908,18801,0.3,1,90.0,5.0,223e1250-74d3-4a19-bf85-e7d6de2badb2,1854216.0,38909.0,16.0,155505.93363015738,46413094911.0,48003.674325615895,158930.47199856775,4642941.786050559,1311470356.39707
311,0.2,11080304,18801,0.2,1,90.0,1.0,85f3c458-9cc2-4d1e-a55d-da158ce0ab53,1854216.0,51465.0,27.0,188606.17664014103,46295379967.0,76617.56704134741,250340.3815068644,415130088.2101829,1316672659.704136
312,0.2,11080392,18801,0.2,1,90.0,8.0,1d8375d4-d690-4f4b-b3a0-473f9c7e12ee,1854216.0,42891.0,26.0,171312.52132972504,46293774335.0,65021.337049953305,236269.4198545752,5618497.461146406,1314506086.5618806
313,0.2,11140784,18801,0.6,1,90.0,8.0,26412ce4-c71c-4ade-96c7-418f71744239,1854216.0,41319.0,36.0,158405.9726296298,46562328575.0,80541.0914563421,256113.2927647861,412092806.40716434,1321238404.4927804
314,0.2,11151136,18801,0.6,1,90.0,1.0,68b8a226-1a1f-4ccb-b8fe-1ed759d32ff3,1854216.0,37930.0,37.0,151475.0098536706,46562328575.0,70736.11882007854,244743.23165958704,6055481.511526961,1319749429.5372715
